epoch,dense_14_loss,loss
0,9.426316261291504,9.426316261291504
1,6.987721920013428,6.987721920013428
2,4.163551330566406,4.163551330566406
3,2.614633321762085,2.614633321762085
4,2.2377142906188965,2.2377142906188965
5,2.027400493621826,2.027400493621826
6,1.9115092754364014,1.9115092754364014
7,1.8338329792022705,1.8338329792022705
8,1.7731330394744873,1.7731330394744873
9,1.7210487127304077,1.7210487127304077
10,1.672972321510315,1.672972321510315
11,1.6264575719833374,1.6264575719833374
12,1.580744743347168,1.580744743347168
13,1.537453055381775,1.537453055381775
14,1.4959462881088257,1.4959462881088257
15,1.4558385610580444,1.4558385610580444
16,1.4175325632095337,1.4175325632095337
17,1.380576729774475,1.380576729774475
18,1.3456406593322754,1.3456406593322754
19,1.3116390705108643,1.3116390705108643
20,1.279005527496338,1.279005527496338
21,1.24701988697052,1.24701988697052
22,1.2159645557403564,1.2159645557403564
23,1.1866083145141602,1.1866083145141602
24,1.158205509185791,1.158205509185791
25,1.1311906576156616,1.1311906576156616
26,1.1053136587142944,1.1053136587142944
27,1.0806294679641724,1.0806294679641724
28,1.05619478225708,1.05619478225708
29,1.033277153968811,1.033277153968811
